label,concept,2025-12-27,2024-12-28,2023-12-30,2022-12-31,2021-12-25,2020-12-26
"Stock Repurchased During Period, Value",us-gaap_StockRepurchasedDuringPeriodValue,1000000000.0,1000000000.0,1000000000.0,1500000000.0,106000000.0,2000000000.0
"Stock Repurchased During Period, Shares",us-gaap_StockRepurchasedDuringPeriodShares,5000000.0,2000000.0,3000000.0,6000000.0,1000000.0,11000000.0
Share-based compensation expense,us-gaap_AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,280000000.0,357000000.0,379000000.0,346000000.0,302000000.0,263000000.0
"Stock option exercises, RSUs and PSUs converted",us-gaap_StockIssuedDuringPeriodValueStockOptionsExercised,-92000000.0,-90000000.0,-107000000.0,,,
"Share-based Payment Arrangement, Decrease for Tax Withholding Obligation",us-gaap_AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,113000000.0,135000000.0,140000000.0,107000000.0,92000000.0,-96000000.0
Other,us-gaap_AdjustmentsToAdditionalPaidInCapitalOther,-9000000.0,-8000000.0,-5000000.0,-4000000.0,-2000000.0,1000000.0
Share repurchases,us-gaap_TreasuryStockValueAcquiredCostMethod,0.0,0.0,0.0,0.0,0.0,0.0
Stock option exercises (in shares),us-gaap_StockIssuedDuringPeriodSharesStockOptionsExercised,896000.0,1555000.0,1205000.0,1578000.0,2321000.0,2440000.0
Other (in shares),us-gaap_StockholdersEquityOtherShares,0.0,0.0,0.0,0.0,0.0,0.0
"Other, net",us-gaap_StockholdersEquityOther,0.0,5000000.0,1000000.0,-4000000.0,,
"Dividends, Common Stock, Cash",us-gaap_DividendsCommonStockCash,7718000000.0,7347000000.0,6839000000.0,6275000000.0,5896000000.0,5589000000.0
Net Income Attributable to Noncontrolling Interest,us-gaap_NetIncomeLossAttributableToNoncontrollingInterest,-55000000.0,-48000000.0,-81000000.0,-68000000.0,-61000000.0,-55000000.0
"Noncontrolling Interest, Decrease from Distributions to Noncontrolling Interest Holders",us-gaap_MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,44000000.0,-49000000.0,-68000000.0,-69000000.0,-49000000.0,-44000000.0
Other comprehensive income/(loss) attributable to PepsiCo,us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,2588000000.0,-2078000000.0,-232000000.0,-404000000.0,578000000.0,-1176000000.0
Convertible Preferred Stock Converted to Other Securities,us-gaap_ConvertiblePreferredStockConvertedToOtherSecurities,,,,,,0.0
"Stock Issued During Period, Shares, Conversion of Convertible Securities",us-gaap_StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,,,,,,0.0
Acquisitions And Divestitures To Noncontrolling Interest,pep_AcquisitionsAndDivestituresToNoncontrollingInterest,,0.0,0.0,21000000.0,0.0,5000000.0
"Stock option exercises, RSUs, and PSUs converted",us-gaap_StockIssuedDuringPeriodValueStockOptionsExercised,,,,102000000.0,,
"Stock option exercises, RSUs, PSUs and PEPunits converted",us-gaap_StockIssuedDuringPeriodValueStockOptionsExercised,,,,,118000000.0,322000000.0
Net Income,us-gaap_NetIncomeLoss,8240000000.0,9578000000.0,9074000000.0,8910000000.0,7618000000.0,7120000000.0
"Common Stock, Dividends, Per Share, Declared",us-gaap_CommonStockDividendsPerShareDeclared,5.6225,5.33,4.945,4.525,4.2475,4.0225
"Conversion of Stock, Shares Converted",us-gaap_ConversionOfStockSharesConverted1,,,,,,0.0
Retirement of preferred stock,pep_Retirementofpreferredstock,,,,,,0.0
"Retirement of preferred stock, value",pep_Retirementofpreferredstockvalue,,,,,,0.0
Redemptions,us-gaap_StockRedeemedOrCalledDuringPeriodValue,,,,,,0.0
Redemptions (in shares),us-gaap_StockRedeemedOrCalledDuringPeriodShares,,,,,,0.0
